paper_id,author_id,author_order
1,44,1
2,9,1
2,7,2
2,64,3
3,14,1
3,15,2
3,18,3
3,7,4
4,56,1
4,57,2
4,11,3
4,68,4
6,9,1
8,65,1
8,46,2
8,3,3
8,6,4
9,53,1
9,64,2
9,26,3
10,52,1
10,9,2
10,55,3
10,3,4
10,6,5
11,2,1
11,6,2
12,9,1
12,3,2
12,6,3
13,11,1
13,9,2
13,53,3
13,55,4
13,63,5
13,23,6
13,64,7
13,16,8
14,53,1
14,16,2
15,29,1
15,72,2
15,1,3
16,66,1
16,70,2
16,71,3
16,36,4
16,25,5
16,20,6
16,4,7
18,62,1
18,7,2
18,44,3
20,34,1
20,37,2
20,18,3
20,58,4
20,62,5
20,32,6
20,47,7
20,24,8
20,10,9
22,19,1
22,37,2
22,60,3
22,47,4
28,13,1
28,44,2
29,41,1
30,7,1
32,62,1
32,7,2
32,44,3
33,52,1
33,9,2
33,55,3
34,53,1
34,64,2
34,26,3
36,52,1
36,9,2
36,3,3
36,6,4
41,40,1
42,11,1
42,39,2
43,11,1
43,68,2
43,21,3
44,48,1
44,27,2
44,6,3
5,57,1
5,11,2
5,68,3
7,38,1
7,9,2
7,55,3
7,64,4
17,71,2
17,36,3
17,22,4
17,25,5
17,20,6
19,7,1
21,37,1
21,18,2
21,58,3
21,62,4
21,47,5
21,24,6
21,10,7
23,80,1
23,61,2
23,81,3
23,82,4
23,59,5
23,83,6
23,28,7
23,49,8
23,51,9
23,17,10
23,8,11
23,43,12
23,30,13
23,84,14
23,85,15
23,67,16
24,19,1
24,86,2
24,37,3
24,87,4
24,88,5
24,89,6
24,63,7
24,90,8
24,91,9
24,7,10
25,92,1
25,93,2
25,76,3
25,77,4
25,78,5
25,94,6
25,79,7
26,95,1
26,96,2
26,97,3
26,98,4
26,99,5
26,100,6
26,101,7
26,102,8
26,75,9
26,103,10
26,104,11
26,105,12
26,106,13
26,107,14
27,108,1
27,109,2
31,110,1
31,7,2
35,57,1
35,53,2
35,64,3
35,26,4
37,111,1
37,112,2
37,113,3
37,114,4
38,115,1
38,116,2
38,117,3
39,118,1
39,119,2
40,120,1
40,121,2
40,122,3
40,123,4
40,124,5
40,125,6
45,126,1
45,127,2
45,128,3
17,35,1
